,0,1
0,38,0.0
1,64,0.011
2,103,0.022
3,56,0.034
4,81,0.045
5,87,0.056
6,66,0.067
7,77,0.079
8,100,0.09
9,98,0.101
10,54,0.112
11,57,0.124
12,48,0.135
13,35,0.146
14,112,0.157
15,78,0.169
16,37,0.18
17,113,0.191
18,109,0.202
19,68,0.213
20,82,0.225
21,36,0.236
22,79,0.247
23,104,0.258
24,71,0.27
25,119,0.281
26,72,0.292
27,107,0.303
28,69,0.315
29,101,0.326
30,97,0.337
31,52,0.348
32,111,0.36
33,75,0.371
34,65,0.382
35,80,0.393
36,83,0.404
37,85,0.416
38,90,0.427
39,88,0.438
40,117,0.449
41,110,0.461
42,102,0.472
43,50,0.483
44,51,0.494
45,53,0.506
46,106,0.517
47,86,0.528
48,121,0.539
49,67,0.551
50,49,0.562
51,122,0.573
52,73,0.584
53,120,0.596
54,91,0.607
55,70,0.618
56,115,0.629
57,123,0.64
58,116,0.652
59,55,0.663
60,89,0.674
61,63,0.685
62,84,0.697
63,40,0.708
64,99,0.719
65,118,0.73
66,74,0.742
67,108,0.753
68,76,0.764
69,114,0.775
70,105,0.787
71,94,0.798
72,61,0.809
73,47,0.82
74,60,0.831
75,43,0.843
76,124,0.854
77,42,0.865
78,33,0.876
79,59,0.888
80,34,0.899
81,126,0.91
82,95,0.921
83,58,0.933
84,39,0.944
85,44,0.955
86,45,0.966
87,46,0.978
88,96,0.989
89,32,1.0
